Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
"Piso en alquiler en Calle de San Telmo, cerca de Calle de José Rodríguez Pinilla",Nueva España (Distrito Chamartín. Madrid Capital),3.300,179,Anuncio actualizado el 19/10/2024,N/A,N/A,"[('Superficie construida:', '179 m²'), ('Superficie útil:', '150 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', 'SA88-ALQSQTSAD')]",Alquiler
Piso en alquiler en Avenida del Brasil,Cuatro Caminos (Distrito Tetuán. Madrid Capital),3.140,95,Anuncio actualizado el 02/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '95 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-CLARAC')]",Alquiler
"Ático en alquiler en Calle del Príncipe de Vergara, cerca de Calle de Francisco Campos",El Viso (Distrito Chamartín. Madrid Capital),3.500,167,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '167 m²'), ('Superficie útil:', '144 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '11ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3849-JG')]",Alquiler
"Piso en alquiler en Calle de Fuencarral, cerca de Calle de Velarde",Universidad-Malasaña (Distrito Centro. Madrid Capital),2.650,80,Anuncio actualizado el 07/08/2024,Consumo:91 kWh/m² año,Emisiones:17 Kg CO₂/m² año,"[('Superficie construida:', '80 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-KOBENNI')]",Alquiler
"Piso en alquiler en Calle de O'Donnell, cerca de Calle de Aguirre",Recoletos (Distrito Salamanca. Madrid Capital),3.805,100,Anuncio actualizado el 25/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '100 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '20ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-LINEAL')]",Alquiler
"Piso en alquiler en Calle de los Artistas, cerca de Calle de Bravo Murillo",Cuatro Caminos (Distrito Tetuán. Madrid Capital),3.030,81,Anuncio actualizado el 17/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '81 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-GERRI')]",Alquiler
"Piso en alquiler en Calle de Velázquez, cerca de Calle Lagasca",Recoletos (Distrito Salamanca. Madrid Capital),4.195,120,Anuncio actualizado el 21/10/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '120 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-TATE')]",Alquiler
"Piso en alquiler en Calle de Santa Engracia, cerca de Calle de Covarrubias",Trafalgar (Distrito Chamberí. Madrid Capital),2.575,70,Anuncio actualizado el 25/10/2024,Consumo:20 kWh/m² año,Emisiones:25 Kg CO₂/m² año,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-SARU')]",Alquiler
"Piso en alquiler en Calle de García de Paredes, cerca de Calle de Fernández de la Hoz",Almagro (Distrito Chamberí. Madrid Capital),3.520,137,Anuncio actualizado el 25/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '137 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-CARDET')]",Alquiler
"Piso en alquiler en Calle de Don Ramón de la Cruz, cerca de Calle de Núñez de Balboa",Castellana (Distrito Salamanca. Madrid Capital),4.415,165,Anuncio actualizado el 26/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '165 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-TRECASE')]",Alquiler
Chalet en alquiler en Ciudalcampo-Fuente del Fresno,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),5.600,420,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '420 m²'), ('Habitaciones:', '4'), ('Baños:', '7'), ('Referencia:', 'AG38-CHA0319')]",Alquiler
"Apartamento en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.010,55,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQGVa205c')]",Alquiler
"Dúplex en alquiler en Calle de Fuencarral, cerca de Calle de Sandoval",Trafalgar (Distrito Chamberí. Madrid Capital),2.100,71,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '71 m²'), ('Superficie útil:', '65 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '6ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-4095-AG')]",Alquiler
Piso en alquiler en Calle del Españoleto,Almagro (Distrito Chamberí. Madrid Capital),3.300,92,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '92 m²'), ('Superficie útil:', '86 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQNZCYVE')]",Alquiler
Piso en alquiler en Avenida del Presidente Carmona,Cuatro Caminos (Distrito Tetuán. Madrid Capital),3.300,172,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '172 m²'), ('Superficie útil:', '165 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '996542-3936-AM')]",Alquiler
"Piso en alquiler en Calle de Alcalá, cerca de Calle del General Pardiñas",Jerónimos (Distrito Retiro. Madrid Capital),3.355,119,Anuncio actualizado el 11/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '119 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-LECINA')]",Alquiler
Piso en alquiler en Calle del Monte Esquinza,Almagro (Distrito Chamberí. Madrid Capital),4.560,102,Anuncio actualizado el 03/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '102 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-XOOK')]",Alquiler
Ático en alquiler en Calle de Sagasta,Justicia-Chueca (Distrito Centro. Madrid Capital),6.500,220,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '220 m²'), ('Superficie útil:', '120 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '5ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-2886_JG')]",Alquiler
"Piso en alquiler en Calle de la Palma, cerca de Calle de San Andrés",Justicia-Chueca (Distrito Centro. Madrid Capital),3.770,140,Anuncio actualizado el 09/10/2024,Consumo:180 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '140 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-CELEBES')]",Alquiler
Piso en alquiler en Calle de Antonio Maura,Jerónimos (Distrito Retiro. Madrid Capital),5.000,230,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '230 m²'), ('Superficie útil:', '220 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-1279-VC')]",Alquiler
Piso en alquiler en Calle de Costa Rica,Hispanoamérica (Distrito Chamartín. Madrid Capital),1.800,88,Anuncio actualizado el 12/09/2024,N/A,N/A,"[('Superficie construida:', '88 m²'), ('Superficie útil:', '70 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA92-101764/EV')]",Alquiler
"Piso en alquiler en Calle Castelló, cerca de Calle de Ayala",Recoletos (Distrito Salamanca. Madrid Capital),3.600,158,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '158 m²'), ('Superficie útil:', '150 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Planta:', '6ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-4068-AG')]",Alquiler
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Diego de León",Castellana (Distrito Salamanca. Madrid Capital),7.800,501,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '501 m²'), ('Superficie útil:', '430 m²'), ('Habitaciones:', '5'), ('Baños:', '6'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-8439-JG')]",Alquiler
Piso en alquiler en Calle del Piamonte,Justicia-Chueca (Distrito Centro. Madrid Capital),2.945,100,Anuncio actualizado el 15/07/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '100 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-INDAH')]",Alquiler
"Ático en alquiler en Calle de Serrano, cerca de Calle Jorge Juan",Recoletos (Distrito Salamanca. Madrid Capital),14.000,440,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '440 m²'), ('Superficie útil:', '380 m²'), ('Habitaciones:', '5'), ('Baños:', '6'), ('Planta:', '6ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4500039-DOS TERRAZAS')]",Alquiler
Piso en alquiler en Calle Pastora Imperio,Castilla (Distrito Chamartín. Madrid Capital),2.400,200,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '200 m²'), ('Superficie útil:', '160 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '14ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQSQATCGR1')]",Alquiler
"Piso en alquiler en Calle de Santa Engracia, cerca de Calle de Zurbarán",Almagro (Distrito Chamberí. Madrid Capital),4.205,150,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '150 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-MARE')]",Alquiler
Piso en alquiler en Calle del Barquillo,Justicia-Chueca (Distrito Centro. Madrid Capital),8.500,290,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '290 m²'), ('Superficie útil:', '275 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-829-VC')]",Alquiler
"Piso en alquiler en Calle de Ibiza, cerca de Calle del Alcalde Sáinz de Baranda",Ibiza (Distrito Retiro. Madrid Capital),3.385,80,Anuncio actualizado el 15/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '80 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '9ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-PERALES')]",Alquiler
Piso en alquiler en Salamanca,Justicia-Chueca (Distrito Centro. Madrid Capital),14.000,400,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '400 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Exterior:', 'Exterior'), ('Referencia:', 'GM19-191685')]",Alquiler
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),5.400,240,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '240 m²'), ('Superficie útil:', '232 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3851-VC')]",Alquiler
Piso en alquiler en Calle de Nicasio Gallego,Justicia-Chueca (Distrito Centro. Madrid Capital),3.245,140,Anuncio actualizado el 26/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '140 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-CASALUCE')]",Alquiler
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),5.400,260,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '260 m²'), ('Superficie útil:', '252 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-0004')]",Alquiler
Piso en alquiler en Corralejos,Corralejos (Distrito Barajas. Madrid Capital),1.500,165,Anuncio actualizado el 15/10/2024,N/A,N/A,"[('Superficie construida:', '165 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC897-537510')]",Alquiler
"Piso en alquiler en Calle Hermosilla, cerca de Calle de Serrano",Recoletos (Distrito Salamanca. Madrid Capital),4.500,238,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '238 m²'), ('Superficie útil:', '225 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3991-VC')]",Alquiler
Piso en alquiler en Calle de Gravina,Justicia-Chueca (Distrito Centro. Madrid Capital),4.020,183,Anuncio actualizado el 15/07/2024,Consumo:228 kWh/m² año,Emisiones:45 Kg CO₂/m² año,"[('Superficie construida:', '183 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-ARASHI')]",Alquiler
"Piso en alquiler en Calle del Duque de Sesto, cerca de Calle de Narváez",Ibiza (Distrito Retiro. Madrid Capital),4.225,156,Anuncio actualizado el 02/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '156 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '6ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-CIELO')]",Alquiler
Piso en alquiler en Calle de la Reina,Sol (Distrito Centro. Madrid Capital),3.480,100,Anuncio actualizado el 02/10/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '100 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-MONROE')]",Alquiler
Apartamento en alquiler en Calle Álvarez de Baena,El Viso (Distrito Chamartín. Madrid Capital),2.000,70,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Superficie útil:', '68 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3999.JB')]",Alquiler
Piso en alquiler en Calle del Monte Esquinza,Almagro (Distrito Chamberí. Madrid Capital),3.810,140,Anuncio actualizado el 25/07/2024,Consumo:133 kWh/m² año,Emisiones:27 Kg CO₂/m² año,"[('Superficie construida:', '140 m²'), ('Habitaciones:', '3'), ('Baños:', '4'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-SABHA')]",Alquiler
"Piso en alquiler en Calle de Padilla, cerca de Calle de José Ortega y Gasset",Lista (Distrito Salamanca. Madrid Capital),2.730,70,Anuncio actualizado el 17/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-UBANGI')]",Alquiler
Casa adosada en alquiler en Calle Mistral,Prado de Somosaguas (Pozuelo de Alarcón),6.950,600,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '600 m²'), ('Habitaciones:', '6'), ('Baños:', '5'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3163-106193079')]",Alquiler
Piso en alquiler en Calle de Luchana,Trafalgar (Distrito Chamberí. Madrid Capital),4.055,137,Anuncio actualizado el 17/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '137 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-OJEN')]",Alquiler
Piso en alquiler en Calle de Luchana,Trafalgar (Distrito Chamberí. Madrid Capital),4.135,134,Anuncio actualizado el 03/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '134 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-DARRO')]",Alquiler
"Piso en alquiler en Paseo de la Castellana, cerca de Paseo de la Habana",El Viso (Distrito Chamartín. Madrid Capital),3.900,129,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '129 m²'), ('Superficie útil:', '120 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '9ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3158-VC')]",Alquiler
"Piso en alquiler en Calle de La Bañeza, 40",Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),1.800,105,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '105 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '8ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Referencia:', 'SA2049-31731/7506')]",Alquiler
Piso en alquiler en Calle de Francisco de Rojas,Justicia-Chueca (Distrito Centro. Madrid Capital),3.000,120,Anuncio actualizado el 15/10/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '120 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-PAPUA')]",Alquiler
"Ático en alquiler en Calle de San Bernardo, cerca de Calle de Jerónimo de la Quintana",Trafalgar (Distrito Chamberí. Madrid Capital),3.700,122,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '122 m²'), ('Superficie útil:', '120 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '7ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '996542-2762-AM')]",Alquiler
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),6.000,240,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '240 m²'), ('Superficie útil:', '225 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3801.VC')]",Alquiler
Piso en alquiler en Justicia,Justicia-Chueca (Distrito Centro. Madrid Capital),2.100,84,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '84 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Exterior:', 'Exterior'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM19-198879')]",Alquiler
"Piso en alquiler en Calle Hermosilla, cerca de Calle del General Díaz Porlier",Recoletos (Distrito Salamanca. Madrid Capital),3.140,102,Anuncio actualizado el 23/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '102 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-PORTICI')]",Alquiler
"Piso en alquiler en Avenida de Menéndez Pelayo, cerca de Plaza del Niño Jesús",Niño Jesús (Distrito Retiro. Madrid Capital),1.600,56,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '56 m²'), ('Superficie útil:', '47 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3986-Retiro- MP Bajo 1')]",Alquiler
"Piso en alquiler en Calle de Bravo Murillo, cerca de Calle de Fernández de los Ríos",Trafalgar (Distrito Chamberí. Madrid Capital),3.485,150,Anuncio actualizado el 02/10/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '150 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-SONOMA')]",Alquiler
"Piso en alquiler en Avenida de la Ciudad de Barcelona, cerca de Calle de Catalina Suárez",Adelfas (Distrito Retiro. Madrid Capital),3.300,115,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '115 m²'), ('Superficie útil:', '107 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '5ª'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '996542-4058-AM')]",Alquiler
Dúplex en alquiler en Centrico,Moraleja de Enmedio,750,80,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '80 m²'), ('Superficie útil:', '80 m²'), ('Habitaciones:', '1'), ('Baños:', '2'), ('Planta:', 'Bajo'), ('Exterior:', 'Independiente'), ('Antigüedad:', 'Entre 5 y 10 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'No tiene'), ('Referencia:', '3053-020062')]",Alquiler
Piso en alquiler en Calle de Mercedes Formica,Monte Rozas-La Chopera (Las Rozas de Madrid),1.505,70,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Superficie útil:', '56 m²'), ('Habitaciones:', '2'), ('Referencia:', 'XA615-12522')]",Alquiler
Piso en alquiler en Calle del Duque de Alba,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.485,90,Anuncio actualizado el 25/07/2024,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '1'), ('Baños:', '2'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-ALBA')]",Alquiler
Piso en alquiler en Salamanca,Ibiza (Distrito Retiro. Madrid Capital),2.600,120,Anuncio actualizado el 19/10/2024,N/A,N/A,"[('Superficie construida:', '120 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Exterior:', 'Exterior'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM19-201344')]",Alquiler
Piso en alquiler en Salamanca,Justicia-Chueca (Distrito Centro. Madrid Capital),10.500,400,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '400 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Exterior:', 'Exterior'), ('Referencia:', 'GM19-192167')]",Alquiler
Piso en alquiler en Calle de Nicasio Gallego,Trafalgar (Distrito Chamberí. Madrid Capital),3.690,140,Anuncio actualizado el 16/10/2024,Consumo:60 kWh/m² año,Emisiones:12 Kg CO₂/m² año,"[('Superficie construida:', '140 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-BETAWI')]",Alquiler
Casa en alquiler en Parcelas,Mejorada del Campo,2.500,350,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '350 m²'), ('Superficie útil:', '315 m²'), ('Superficie solar:', '920 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Referencia:', 'SA5061-00103/11014')]",Alquiler
Piso en alquiler en Calle de O'Donnell,Ibiza (Distrito Retiro. Madrid Capital),4.040,118,Anuncio actualizado el 26/09/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '118 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '6ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-SOFIA')]",Alquiler
"Piso en alquiler en Calle de Hortaleza, cerca de Calle de Augusto Figueroa",Justicia-Chueca (Distrito Centro. Madrid Capital),2.665,68,Anuncio actualizado el 18/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '68 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-CAMINO')]",Alquiler
"Dúplex en alquiler en Calle de Juan Bravo, cerca de Calle de Serrano",Castellana (Distrito Salamanca. Madrid Capital),3.600,170,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '170 m²'), ('Superficie útil:', '160 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '6ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3640-VC')]",Alquiler
Piso en alquiler en Calle de Antonio Pérez,El Viso (Distrito Chamartín. Madrid Capital),1.700,75,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '75 m²'), ('Superficie útil:', '70 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '996542-3006-AM')]",Alquiler
