Descripción,Localización,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Superficie Construida,Superficie Útil,Habitaciones,Baños,Antigüedad,Conservación,Planta,Tipo De Casa
"Piso en alquiler en Calle de José Ortega y Gasset, cerca de Calle de Núñez de Balboa",Castellana (Distrito Salamanca. Madrid Capital),11000.0,2024-10-28,,,Alquiler,420.0,400.0,4,4,Más de 50 años,En buen estado,1ª,Piso
"Piso en alquiler en Calle de Velázquez, cerca de Calle Lagasca",Recoletos (Distrito Salamanca. Madrid Capital),2400.0,2024-07-24,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,70.0,No especificado,1,1,No especificado,En buen estado,6ª,Piso
Estudio en alquiler en Calle de Vargas,Ríos Rosas (Distrito Chamberí. Madrid Capital),2410.0,2024-09-23,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,67.0,No especificado,No especificado,1,No especificado,En buen estado,No especificado,Estudio
"Piso en alquiler en Calle de Santa Engracia, cerca de Calle de Ríos Rosas",Ríos Rosas (Distrito Chamberí. Madrid Capital),3220.0,2024-09-12,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,130.0,No especificado,3,2,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Calle de Sagasta,Justicia-Chueca (Distrito Centro. Madrid Capital),4050.0,2024-10-28,,,Alquiler,109.0,99.0,2,2,Entre 20 y 30 años,Reformado,4ª,Piso
Piso en alquiler en Calle de San Andrés,Trafalgar (Distrito Chamberí. Madrid Capital),4135.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,128.0,No especificado,4,3,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Cortes-Huertas,Cortes-Huertas (Distrito Centro. Madrid Capital),2000.0,2024-10-15,Consumo:190 kWh/m² año,Emisiones:32 Kg CO₂/m² año,Alquiler,55.0,No especificado,2,1,Más de 50 años,En buen estado,2ª,Piso
Chalet unifamiliar en alquiler en Avenida de Fuentelarreina,Fuentelarreina (Distrito Fuencarral-El Pardo. Madrid Capital),6000.0,2024-10-28,,,Alquiler,510.0,500.0,5,6,Más de 50 años,En buen estado,No especificado,Chalet
Piso en alquiler en Calle de Almagro,Almagro (Distrito Chamberí. Madrid Capital),2260.0,2024-10-02,Consumo:113 kWh/m² año,Emisiones:22 Kg CO₂/m² año,Alquiler,65.0,No especificado,1,1,No especificado,En buen estado,6ª,Piso
"Piso en alquiler en Calle de las Huertas, cerca de Calle de Santa María",Cortes-Huertas (Distrito Centro. Madrid Capital),2645.0,2024-09-06,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,121.0,No especificado,1,2,Más de 50 años,En buen estado,2ª,Piso
"Piso en alquiler en Calle de José Abascal, cerca de Calle de Zurbano",Almagro (Distrito Chamberí. Madrid Capital),8300.0,2024-10-23,,,Alquiler,366.0,350.0,5,4,No especificado,En buen estado,5ª,Piso
Piso en alquiler en Calle de Salamanca,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2015.0,2024-10-23,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,42.0,No especificado,1,1,No especificado,En buen estado,1ª,Piso
"Apartamento en alquiler en Calle de Rodríguez Marín, cerca de Avenida del Doctor Arce",El Viso (Distrito Chamartín. Madrid Capital),2800.0,2024-10-28,,,Alquiler,74.0,70.0,1,1,Entre 10 y 20 años,Reformado,Principal,Otro
Dúplex en alquiler en Calle de la Sófora,Castillejos (Distrito Tetuán. Madrid Capital),2359.0,2024-10-28,,,Alquiler,172.0,165.0,2,2,Entre 5 y 10 años,Reformado,3ª,Dúplex
"Piso en alquiler en Calle de Juan Bravo, cerca de Calle de Velázquez",Castellana (Distrito Salamanca. Madrid Capital),3640.0,2024-10-06,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,95.0,No especificado,2,2,No especificado,En buen estado,6ª,Piso
Apartamento en alquiler en Calle de Fermín Cacho,Brunete,1200.0,2024-09-13,,,Alquiler,98.0,No especificado,1,1,No especificado,No especificado,Bajo,Otro
Piso en alquiler en Calle de Sagasta,Justicia-Chueca (Distrito Centro. Madrid Capital),4050.0,2024-10-28,,,Alquiler,110.0,100.0,2,2,Entre 30 y 50 años,Reformado,2ª,Piso
"Piso en alquiler en Calle del General Díaz Porlier, cerca de Calle del General Oráa",Lista (Distrito Salamanca. Madrid Capital),2700.0,2024-10-28,,,Alquiler,65.0,62.0,1,1,Más de 50 años,Reformado,5ª,Piso
Piso en alquiler en Calle de Mercedes Formica,Parque Empresarial (Las Rozas de Madrid),1505.0,2024-10-28,,,Alquiler,70.0,54.0,2,No especificado,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle Cristóbal Colón,Montepríncipe (Boadilla del Monte),1800.0,2024-10-28,,,Alquiler,115.0,100.0,3,2,No especificado,Reformado,1ª,Piso
"Piso en alquiler en Calle de Goya, cerca de Calle de Núñez de Balboa",Recoletos (Distrito Salamanca. Madrid Capital),2450.0,2024-10-21,,,Alquiler,120.0,110.0,2,1,Más de 50 años,No especificado,4ª,Piso
Ático en alquiler en Calle de la Puebla,Universidad-Malasaña (Distrito Centro. Madrid Capital),2900.0,2024-10-28,,,Alquiler,105.0,105.0,2,2,Más de 50 años,En buen estado,4ª,Otro
"Piso en alquiler en Calle del Cardenal Cisneros, cerca de Calle de Eloy Gonzalo",Trafalgar (Distrito Chamberí. Madrid Capital),2665.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,66.0,No especificado,2,1,No especificado,En buen estado,1ª,Piso
"Piso en alquiler en Calle del Cardenal Cisneros, cerca de Calle de Eloy Gonzalo",Arapiles (Distrito Chamberí. Madrid Capital),2485.0,2024-10-25,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,60.0,No especificado,1,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Calle de San Andrés,Universidad-Malasaña (Distrito Centro. Madrid Capital),2335.0,2024-10-07,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,53.0,No especificado,1,1,No especificado,En buen estado,5ª,Piso
Piso en alquiler en Calle de Maiquez,Ibiza (Distrito Retiro. Madrid Capital),1495.0,2024-10-22,Consumo:999 kWh/m² año,Emisiones:999 Kg CO₂/m² año,Alquiler,69.0,59.0,1,1,Entre 30 y 50 años,En buen estado,1ª,Piso
"Piso en alquiler en Calle de Bravo Murillo, cerca de Calle de Esquilache",Vallehermoso (Distrito Chamberí. Madrid Capital),2970.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,100.0,No especificado,2,2,No especificado,En buen estado,5ª,Piso
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Calle Jorge Juan",Goya (Distrito Salamanca. Madrid Capital),4950.0,2024-10-20,,,Alquiler,137.0,130.0,2,2,No especificado,En buen estado,5ª,Piso
Piso en alquiler en Calle de Hernán Cortés,Justicia-Chueca (Distrito Centro. Madrid Capital),2800.0,2024-02-08,,,Alquiler,68.0,65.0,1,2,No especificado,No especificado,2ª,Piso
Piso en alquiler en Calle de Edgar Neville,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2400.0,2024-07-18,Consumo:120 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,110.0,No especificado,2,2,No especificado,En buen estado,3ª,Piso
Piso en alquiler en El Viso,Justicia-Chueca (Distrito Centro. Madrid Capital),2500.0,2024-10-28,,,Alquiler,124.0,No especificado,2,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle del Olivo,Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),1224.0,2024-01-04,,,Alquiler,52.0,52.0,2,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Calle de Quevedo,Cortes-Huertas (Distrito Centro. Madrid Capital),3485.0,2024-10-18,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,98.0,No especificado,3,2,No especificado,En buen estado,No especificado,Piso
Piso en alquiler en Calle Corredera Baja de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),3440.0,2024-10-28,,,Alquiler,140.0,125.0,2,2,Entre 5 y 10 años,En buen estado,2ª,Piso
Piso en alquiler en Calle de Luchana,Trafalgar (Distrito Chamberí. Madrid Capital),3755.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,139.0,No especificado,3,4,No especificado,En buen estado,1ª,Piso
Piso en alquiler en Salamanca,Palacio (Distrito Centro. Madrid Capital),3950.0,2024-10-24,,,Alquiler,150.0,No especificado,3,2,No especificado,No especificado,No especificado,Piso
"Piso en alquiler en Calle de Bravo Murillo, cerca de Calle del Lozoya",Trafalgar (Distrito Chamberí. Madrid Capital),3860.0,2024-08-21,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,121.0,No especificado,3,2,No especificado,En buen estado,4ª,Piso
"Piso en alquiler en Paseo del General Martínez Campos, cerca de Calle de Miguel Ángel",Almagro (Distrito Chamberí. Madrid Capital),2750.0,2024-10-17,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,78.0,No especificado,2,2,No especificado,En buen estado,6ª,Piso
Piso en alquiler en Calle del Castillo,Trafalgar (Distrito Chamberí. Madrid Capital),3435.0,2024-10-07,Consumo:201 kWh/m² año,Emisiones:42 Kg CO₂/m² año,Alquiler,150.0,No especificado,3,3,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Calle de Antonio Acuña,Ibiza (Distrito Retiro. Madrid Capital),2000.0,2024-10-21,,,Alquiler,60.0,55.0,1,1,Entre 10 y 20 años,No especificado,6ª,Piso
Piso en alquiler en Calle Elena Fortún,Monte Rozas-La Chopera (Las Rozas de Madrid),1250.0,2024-10-28,,,Alquiler,70.0,56.0,2,No especificado,No especificado,No especificado,2ª,Piso
Piso en alquiler en Calle de Luchana,Trafalgar (Distrito Chamberí. Madrid Capital),4065.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,137.0,No especificado,4,4,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle de María de Molina, cerca de Paseo de la Castellana",Castellana (Distrito Salamanca. Madrid Capital),3635.0,2024-07-18,Consumo:189 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,170.0,No especificado,3,3,No especificado,En buen estado,5ª,Piso
"Piso en alquiler en Calle de Núñez de Balboa, cerca de Calle Jorge Juan",Recoletos (Distrito Salamanca. Madrid Capital),2650.0,2024-10-28,,,Alquiler,95.0,90.0,2,2,Entre 30 y 50 años,Reformado,1ª,Piso
"Piso en alquiler en Calle de Fernández de la Hoz, cerca de Paseo del General Martínez Campos",Almagro (Distrito Chamberí. Madrid Capital),3395.0,2024-10-03,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,95.0,No especificado,2,3,No especificado,En buen estado,3ª,Piso
"Apartamento en alquiler en Calle de García de Paredes, cerca de Calle de Miguel Ángel",Almagro (Distrito Chamberí. Madrid Capital),3450.0,2024-10-28,,,Alquiler,90.0,85.0,1,1,Entre 30 y 50 años,Reformado,4ª,Otro
Piso en alquiler en Paseo de San Francisco de Sales,Vallehermoso (Distrito Chamberí. Madrid Capital),1500.0,2024-10-16,,,Alquiler,84.0,No especificado,2,1,No especificado,En buen estado,No especificado,Piso
Piso en alquiler en Calle de Miguel Ángel,Almagro (Distrito Chamberí. Madrid Capital),2910.0,2024-10-03,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,60.0,No especificado,1,1,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle de Claudio Coello, cerca de Calle Lagasca",Recoletos (Distrito Salamanca. Madrid Capital),3390.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,110.0,No especificado,2,2,No especificado,En buen estado,1ª,Piso
Piso en alquiler en Calle de García de Paredes,Trafalgar (Distrito Chamberí. Madrid Capital),3535.0,2024-08-14,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,165.0,No especificado,4,2,No especificado,En buen estado,4ª,Piso
"Piso en alquiler en Calle de Alonso Cano, cerca de Calle de María de Guzmán",Ríos Rosas (Distrito Chamberí. Madrid Capital),3180.0,2024-08-19,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,86.0,No especificado,2,2,No especificado,En buen estado,4ª,Piso
"Dúplex en alquiler en Calle de Fernández de la Hoz, cerca de Calle de García de Paredes",Almagro (Distrito Chamberí. Madrid Capital),3935.0,2024-09-05,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,153.0,No especificado,3,4,No especificado,En buen estado,6ª,Dúplex
Piso en alquiler en Calle de Villanueva,Recoletos (Distrito Salamanca. Madrid Capital),6700.0,2024-10-28,,,Alquiler,201.0,200.0,3,3,Más de 50 años,Reformado,4ª,Piso
"Piso en alquiler en Avenida de Alfonso XIII, cerca de Calle de Guatemala",Hispanoamérica (Distrito Chamartín. Madrid Capital),2600.0,2024-10-28,,,Alquiler,100.0,90.0,2,2,Entre 20 y 30 años,Reformado,11ª,Piso
Piso en alquiler en Calle de Espalter,Jerónimos (Distrito Retiro. Madrid Capital),16000.0,2024-10-28,,,Alquiler,410.0,400.0,4,4,Entre 30 y 50 años,Reformado,3ª,Piso
"Piso en alquiler en Paseo del General Martínez Campos, cerca de Calle de Rafael Calvo",Almagro (Distrito Chamberí. Madrid Capital),4520.0,2024-09-26,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,165.0,No especificado,3,3,No especificado,En buen estado,3ª,Piso
"Apartamento en alquiler en Calle de Juan Ramón Jiménez, 8",Hispanoamérica (Distrito Chamartín. Madrid Capital),2100.0,2024-07-31,,,Alquiler,85.0,75.0,1,1,No especificado,En buen estado,4ª,Otro
Piso en alquiler en Calle de Luchana,Trafalgar (Distrito Chamberí. Madrid Capital),4280.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,137.0,No especificado,4,4,Más de 50 años,En buen estado,5ª,Piso
"Dúplex en alquiler en Calle de Alcántara, cerca de Calle de Don Ramón de la Cruz",Valdeacederas (Distrito Tetuán. Madrid Capital),3140.0,2024-10-21,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,110.0,No especificado,1,1,No especificado,En buen estado,1ª,Dúplex
"Piso en alquiler en Calle de Núñez de Balboa, cerca de Calle de María de Molina",El Viso (Distrito Chamartín. Madrid Capital),2510.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,75.0,No especificado,1,2,No especificado,En buen estado,7ª,Piso
"Piso en alquiler en Calle de Maldonado, 55, cerca de Calle del General Pardiñas",Lista (Distrito Salamanca. Madrid Capital),1300.0,2024-09-18,,,Alquiler,46.0,46.0,1,2,No especificado,Reformado,1ª,Piso
Piso en alquiler en Calle de Manuel Cortina,Trafalgar (Distrito Chamberí. Madrid Capital),3435.0,2024-07-25,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,116.0,No especificado,3,2,No especificado,En buen estado,5ª,Piso
"Piso en alquiler en Calle de Diego de León, cerca de Calle de Velázquez",Castellana (Distrito Salamanca. Madrid Capital),3310.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,82.0,No especificado,2,2,No especificado,En buen estado,2ª,Piso
"Ático en alquiler en Calle de Zurbano, cerca de Calle de Málaga",Ríos Rosas (Distrito Chamberí. Madrid Capital),3860.0,2024-10-25,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,140.0,No especificado,3,2,No especificado,En buen estado,6ª,Otro
"Piso en alquiler en Calle de Fernán González, 20, cerca de Calle Jorge Juan",Goya (Distrito Salamanca. Madrid Capital),3520.0,2024-07-25,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,125.0,No especificado,3,2,No especificado,En buen estado,1ª,Piso
"Piso en alquiler en Calle de Viriato, cerca de Calle de Modesto Lafuente",Almagro (Distrito Chamberí. Madrid Capital),3950.0,2024-09-25,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,127.0,No especificado,3,2,No especificado,En buen estado,3ª,Piso
Dúplex en alquiler en Majadahonda / Monte El Pilar,Zona Monte del Pilar (Majadahonda),2950.0,2024-10-01,,,Alquiler,240.0,No especificado,4,4,Entre 10 y 20 años,En buen estado,3ª,Dúplex
Chalet en alquiler en Alpedrete,Alpedrete,2200.0,2024-10-25,,,Alquiler,322.0,251.0,3,2,No especificado,En buen estado,No especificado,Chalet
"Ático en alquiler en Calle del Príncipe de Vergara, cerca de Calle de Ayala",Goya (Distrito Salamanca. Madrid Capital),9850.0,2024-10-23,,,Alquiler,279.0,269.0,4,4,Más de 50 años,En buen estado,8ª,Otro
"Piso en alquiler en Calle de Velázquez, cerca de Calle de María de Molina",Castellana (Distrito Salamanca. Madrid Capital),3540.0,2024-07-22,Consumo:74 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,120.0,No especificado,2,2,No especificado,En buen estado,5ª,Piso
Casa adosada en alquiler en Balcón de La Peñota,Los Molinos,1750.0,2024-09-10,,,Alquiler,286.0,270.0,4,3,Entre 30 y 50 años,No especificado,No especificado,Casa
"Piso en alquiler en Calle Castelló, cerca de Calle de Don Ramón de la Cruz",Recoletos (Distrito Salamanca. Madrid Capital),3645.0,2024-10-11,Consumo:205 kWh/m² año,Emisiones:43 Kg CO₂/m² año,Alquiler,110.0,No especificado,2,2,No especificado,En buen estado,5ª,Piso
Piso en alquiler en Calle de Trafalgar,Valdeacederas (Distrito Tetuán. Madrid Capital),3005.0,2024-10-25,Consumo:225 kWh/m² año,Emisiones:38 Kg CO₂/m² año,Alquiler,100.0,No especificado,2,1,No especificado,En buen estado,2ª,Piso
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Núñez de Balboa",Castellana (Distrito Salamanca. Madrid Capital),4185.0,2024-09-19,Consumo:191 kWh/m² año,Emisiones:37 Kg CO₂/m² año,Alquiler,160.0,No especificado,3,2,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Chamartín,El Viso (Distrito Chamartín. Madrid Capital),1900.0,2024-10-22,,,Alquiler,120.0,No especificado,3,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle de La Arganzuela,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1700.0,2024-10-25,,,Alquiler,75.0,75.0,2,2,Más de 50 años,En buen estado,4ª,Piso
Piso en alquiler en Calle de Rafael Calvo,Almagro (Distrito Chamberí. Madrid Capital),3925.0,2024-07-15,Consumo:189 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,178.0,No especificado,3,3,No especificado,En buen estado,4ª,Piso
"Piso en alquiler en Calle de Lagasca, cerca de Calle de Claudio Coello",El Viso (Distrito Chamartín. Madrid Capital),2500.0,2024-09-09,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,56.0,No especificado,1,1,No especificado,En buen estado,6ª,Piso
"Piso en alquiler en Calle de Galileo, cerca de Calle de Meléndez Valdés",Arapiles (Distrito Chamberí. Madrid Capital),3595.0,2024-09-09,Consumo:119 kWh/m² año,Emisiones:20 Kg CO₂/m² año,Alquiler,142.0,No especificado,2,2,No especificado,En buen estado,7ª,Piso
"Apartamento en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2475.0,2024-10-27,,,Alquiler,60.0,No especificado,1,1,No especificado,A estrenar,4ª,Otro
"Piso en alquiler en Calle de Velázquez, cerca de Calle de Núñez de Balboa",Recoletos (Distrito Salamanca. Madrid Capital),8900.0,2024-10-17,,,Alquiler,308.0,250.0,4,4,Más de 50 años,A estrenar,4ª,Piso
"Piso en alquiler en Calle de Ibiza, cerca de Calle de Narváez",Jerónimos (Distrito Retiro. Madrid Capital),3255.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,80.0,No especificado,2,1,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Chamberi,Almagro (Distrito Chamberí. Madrid Capital),8300.0,2024-10-28,,,Alquiler,366.0,294.0,5,5,No especificado,Reformado,No especificado,Piso
"Piso en alquiler en Calle Hermosilla, cerca de Calle del Conde de Peñalver",Goya (Distrito Salamanca. Madrid Capital),2445.0,2024-07-23,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,68.0,No especificado,1,1,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle de Ayala, cerca de Calle de Claudio Coello",Recoletos (Distrito Salamanca. Madrid Capital),3200.0,2024-10-28,,,Alquiler,80.0,72.0,2,2,Entre 30 y 50 años,Reformado,2ª,Piso
Piso en alquiler en Calle del Conde de Xiquena,Justicia-Chueca (Distrito Centro. Madrid Capital),3930.0,2024-10-02,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,150.0,No especificado,3,2,No especificado,En buen estado,4ª,Piso
"Piso en alquiler en Calle del General Pardiñas, cerca de Calle de Don Ramón de la Cruz",Goya (Distrito Salamanca. Madrid Capital),3700.0,2024-09-30,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,125.0,No especificado,3,2,No especificado,En buen estado,2ª,Piso
"Piso en alquiler en Calle de Santa Engracia, cerca de Calle de Viriato",Trafalgar (Distrito Chamberí. Madrid Capital),3800.0,2024-10-25,,,Alquiler,73.0,67.0,2,2,No especificado,En buen estado,2ª,Piso
"Piso en alquiler en Paseo de la Habana, cerca de Paseo de la Castellana",Nueva España (Distrito Chamartín. Madrid Capital),2600.0,2024-10-28,,,Alquiler,90.0,85.0,2,2,Entre 20 y 30 años,Reformado,6ª,Piso
"Piso en alquiler en Calle de Diego de León, cerca de Calle del General Díaz Porlier",Lista (Distrito Salamanca. Madrid Capital),3005.0,2024-07-31,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,105.0,95.0,2,2,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Ronda de Valencia,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1500.0,2024-10-19,Consumo:160 kWh/m² año,Emisiones:69 Kg CO₂/m² año,Alquiler,98.0,90.0,2,1,Más de 50 años,En buen estado,2ª,Piso
Piso en alquiler en Calle de Luchana,Trafalgar (Distrito Chamberí. Madrid Capital),4075.0,2024-07-15,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,134.0,No especificado,4,4,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Calle Elena Fortún,Parque Empresarial (Las Rozas de Madrid),1230.0,2024-10-28,,,Alquiler,70.0,54.0,2,No especificado,No especificado,No especificado,1ª,Piso
Piso en alquiler en Calle  Vc Lagasca,Recoletos (Distrito Salamanca. Madrid Capital),7500.0,2024-10-28,,,Alquiler,278.0,250.0,4,4,No especificado,Reformado,3ª,Piso
"Piso en alquiler en Calle de Velázquez, cerca de Calle de López de Hoyos",El Viso (Distrito Chamartín. Madrid Capital),5000.0,2024-10-21,,,Alquiler,145.0,130.0,2,2,Más de 50 años,No especificado,1ª,Piso
Piso en alquiler en Calle del Río,Palacio (Distrito Centro. Madrid Capital),2190.0,2024-10-28,,,Alquiler,35.0,31.0,1,1,Menos de 5 años,A estrenar,1ª,Piso
Piso en alquiler en Calle de Mauricio Ravel,Castilla (Distrito Chamartín. Madrid Capital),2650.0,2024-10-17,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,75.0,No especificado,2,2,No especificado,En buen estado,7ª,Piso
Chalet en alquiler en Ciudad Universitaria,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),4500.0,2024-10-18,,,Alquiler,495.0,480.0,5,4,No especificado,No especificado,No especificado,Chalet
"Piso en alquiler en Calle Vallehermoso, cerca de Calle de Cea Bermúdez",Vallehermoso (Distrito Chamberí. Madrid Capital),2210.0,2024-10-02,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,40.0,No especificado,1,1,No especificado,En buen estado,1ª,Piso
"Piso en alquiler en Calle del Cardenal Cisneros, cerca de Calle de Eloy Gonzalo",Arapiles (Distrito Chamberí. Madrid Capital),2435.0,2024-08-20,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,56.0,No especificado,1,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Calle de Sagasta,Justicia-Chueca (Distrito Centro. Madrid Capital),4200.0,2024-10-28,,,Alquiler,145.0,140.0,3,3,Entre 30 y 50 años,Reformado,2ª,Piso
Dúplex en alquiler en Calle de Villalar,Recoletos (Distrito Salamanca. Madrid Capital),4900.0,2024-10-28,,,Alquiler,140.0,135.0,2,2,Entre 30 y 50 años,Reformado,5ª,Dúplex
Ático en alquiler en Calle de Valverde,Universidad-Malasaña (Distrito Centro. Madrid Capital),3800.0,2024-10-28,,,Alquiler,220.0,200.0,2,3,Entre 30 y 50 años,Reformado,5ª,Otro
Piso en alquiler en Calle de Potosí,Hispanoamérica (Distrito Chamartín. Madrid Capital),2600.0,2024-10-28,,,Alquiler,170.0,162.0,4,2,Entre 20 y 30 años,Reformado,6ª,Piso
"Piso en alquiler en Calle de San Telmo, cerca de Calle de José Rodríguez Pinilla",Nueva España (Distrito Chamartín. Madrid Capital),3300.0,2024-10-19,,,Alquiler,179.0,150.0,3,3,No especificado,A estrenar,Bajo,Piso
Piso en alquiler en Avenida del Brasil,Cuatro Caminos (Distrito Tetuán. Madrid Capital),3140.0,2024-09-02,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,95.0,No especificado,2,2,No especificado,En buen estado,4ª,Piso
"Ático en alquiler en Calle del Príncipe de Vergara, cerca de Calle de Francisco Campos",El Viso (Distrito Chamartín. Madrid Capital),3500.0,2024-10-28,,,Alquiler,167.0,144.0,3,2,Entre 30 y 50 años,Reformado,11ª,Otro
"Piso en alquiler en Calle de Fuencarral, cerca de Calle de Velarde",Universidad-Malasaña (Distrito Centro. Madrid Capital),2650.0,2024-08-07,Consumo:91 kWh/m² año,Emisiones:17 Kg CO₂/m² año,Alquiler,80.0,No especificado,1,1,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle de O'Donnell, cerca de Calle de Aguirre",Recoletos (Distrito Salamanca. Madrid Capital),3805.0,2024-10-25,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,100.0,No especificado,2,1,No especificado,En buen estado,20ª,Piso
"Piso en alquiler en Calle de los Artistas, cerca de Calle de Bravo Murillo",Cuatro Caminos (Distrito Tetuán. Madrid Capital),3030.0,2024-07-17,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,81.0,No especificado,2,2,No especificado,En buen estado,4ª,Piso
"Piso en alquiler en Calle de Velázquez, cerca de Calle Lagasca",Recoletos (Distrito Salamanca. Madrid Capital),4195.0,2024-10-21,Consumo:198 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,120.0,No especificado,2,2,No especificado,En buen estado,3ª,Piso
